set Nodos := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;
set I :=   5 6 3;
set Arcos := (1,2) (2,3) (3,4) (4,5)#Bidireccional  
             (2,1) (3,2) (4,3) (5,4)#Bidireccional           
             (1,6) (7,2) (3,8) (9,4) (5,10)
             (6,7) (7,8) (8,9) (9,10)#Bidireccional                         
             (7,6) (8,7) (9,8) (10,9)#Bidireccional                
             (6,11) (12,7) (8,13)(14,9) (10,15)
             (11,12) (12,13)(13,14) (14,15) #Bidireccional                
             (12,11) (13,12)(14,13) (15,14) #Bidireccional                
             (11,16) (17,12) (13,18) (19,14) (15,20) 
             (16,17) (17,18) (18,19) (19,20) #Bidireccional                
             (17,16) (18,17) (19,18) (20,19)#Bidireccional                
             (16,21) (22,17) (18,23) (24,19) (20,25)
             (21,22) (22,23) (23,24) (24,25) #Bidireccional                
             (22,21) (23,22) (24,23) (25,24); #Bidireccional                

set ArcosBidireccionales := (1,2) (2,3) (3,4) (4,5)
                            (2,1) (3,2) (4,3) (5,4)
                            (6,7) (7,8) (8,9) (9,10)
                            (7,6) (8,7) (9,8) (10,9)
                            (11,12) (12,13)(13,14) (14,15)
                            (12,11) (13,12)(14,13) (15,14)
                            (16,17) (17,18) (18,19) (19,20)
                            (17,16) (18,17) (19,18) (20,19)
                            (21,22) (22,23) (23,24) (24,25)
                            (22,21) (23,22) (24,23) (25,24);

param demanda :=
1 2 3  1 6 5   
2 3 3  7 2 5
3 4 3  3 8 5
4 5 3  9 4 5
       5 10 5
2 1 3  
3 2 3  
4 3 3  
5 4 3  


6 7 3  6 11 5
7 8 3  12 7 5
8 9 3  8 13 5
9 10 3 14 9 5
       10 15 5
7 6 3
8 7 3
9 8 3
10 9 3


11 12 3  11 16 5
12 13 3  17 12 5
13 14 3  13 18 5
14 15 3  19 14 5
         15 20 5
12 11 3 
13 12 3
14 13 3
15 14 3

16 17 3  16 21 5
17 18 3  22 17 5
18 19 3  18 23 5
19 20 3  24 19 5
         20 25 5
17 16 3
18 17 3 
19 18 3
20 19 3

21 22 3
22 23 3
23 24 3
24 25 3

22 21 3
23 22 3
24 23 3
25 24 3;

param capacidad_vehiculo := 150;

param costo :=
1 2 4  1 6 9   
2 3 2  7 2 3
3 4 1  3 8 2
4 5 8  9 4 1
       5 10 8
2 1 1  
3 2 4 
4 3 10  
5 4 7  


6 7 8  6 11 9
7 8 2  12 7 2
8 9 1  8 13 3
9 10 8 14 9 9
       10 15 8
7 6 4
8 7 2
9 8 7
10 9 8


11 12 1  11 16 4
12 13 4  17 12 3
13 14 2  13 18 8
14 15 8  19 14 9
         15 20 3
12 11 8 
13 12 3
14 13 9
15 14 10

16 17 4  16 21 8
17 18 8  22 17 4
18 19 3  18 23 8
19 20 2  24 19 9
         20 25 1
17 16 2
18 17 3 
19 18 4
20 19 5

21 22 8
22 23 3
23 24 11
24 25 8

22 21 12
23 22 8
24 23 8
25 24 1;
