NOMBRE : Instancia real grande
COMENTARIO : caso real 
VERTICES : 204 
ARISTAS_REQ : 293
ARISTAS_NOREQ : 0 
RESTRICCIONES : 0 
NODOS_INICIALES : 1 
NODOS_TERMINO : 1 
LISTA_ARISTAS_REQ : 
uni 31492 31752 133.29 1
uni 31752 31766 160.82 1
uni 31766 31794 152.93 1
uni 31773 31492 148.80 1
uni 31793 31773 222.89 1
uni 31794 31809 222.89 1
uni 31809 31826 222.89 1
uni 31818 31793 68.31 1
uni 31826 31818 37.73 1
uni 31829 31818 115.75 1
uni 31849 31829 190.38 1
uni 31871 31849 31.96 1
uni 31886 31837 42.63 1
uni 48797 31871 30.12 1
uni 31818 31995 222.89 1
uni 31905 31892 44.08 1
uni 31947 31886 16.50 1
uni 31951 31905 222.89 1
uni 31965 31951 222.89 1
uni 31837 31972 180.50 1
uni 31983 31965 86.50 1
uni 31972 31983 165.97 1
uni 31991 31837 222.89 1
uni 31995 32005 127.29 1
uni 32004 31991 198.55 1
uni 32005 32004 62.44 1
uni 32006 31947 144.99 1
uni 32057 32006 222.89 1
uni 32144 32057 183.17 1
uni 31837 32165 185.47 1
uni 32211 32144 222.89 1
uni 32165 32253 167.87 1
uni 32288 32211 153.97 1
uni 32353 32288 174.18 1
uni 32518 32353 172.83 1
uni 32253 32518 132.95 1
uni 32619 32518 222.89 1
uni 32709 32619 140.24 1
uni 32518 32733 89.64 1
uni 32815 32735 180.35 1
uni 32885 32709 85.78 1
uni 32733 32885 222.89 1
uni 32887 32815 86.13 1
uni 32887 47103 121.94 1
bi 32735 47103 76.95 1
uni 31892 48797 200.37 1
bi 31833 31492 134.78 1
bi 31840 31794 222.89 1
bi 31850 31818 222.89 1
bi 31840 31850 190.82 1
bi 31853 31752 44.26 1
bi 31833 31853 140.84 1
bi 31902 31840 41.48 1
bi 31913 31850 222.89 1
bi 31902 31913 222.89 1
bi 31920 51511 187.26 1
bi 31930 31995 5.50 1
bi 31913 31930 98.47 1
bi 31931 31853 42.68 1
bi 31920 31931 222.89 1
bi 31936 31920 200.15 1
bi 31937 31766 222.89 1
bi 31931 31937 11.11 1
bi 31941 31902 157.62 1
bi 31937 31941 121.52 1
bi 31973 31941 35.59 1
bi 31973 31982 222.89 1
bi 31981 31913 222.89 1
bi 31982 31981 137.83 1
bi 31984 31833 222.89 1
bi 31994 31930 222.89 1
bi 31981 31994 222.89 1
bi 32011 31931 222.89 1
bi 31984 32011 151.61 1
bi 32035 31973 182.97 1
bi 32041 31982 102.74 1
bi 32035 32041 222.89 1
bi 32044 31981 170.46 1
bi 32041 32044 178.34 1
bi 32046 31994 132.08 1
bi 32044 32046 35.71 1
bi 32068 32011 222.89 1
bi 32072 31937 222.89 1
bi 32068 32072 130.06 1
bi 32086 32035 222.89 1
bi 32072 32086 222.89 1
bi 32095 32041 10.18 1
bi 32086 32095 123.07 1
bi 32101 32044 222.89 1
bi 32095 32101 222.89 1
bi 32106 32005 52.65 1
bi 32107 32046 222.89 1
bi 32101 32107 82.04 1
bi 32119 32004 131.45 1
bi 32106 32119 151.33 1
bi 32125 31984 165.07 1
bi 32136 31991 89.72 1
bi 32119 32136 222.89 1
bi 32138 32068 222.89 1
bi 32139 32138 41.28 1
bi 32148 51522 75.50 1
bi 32136 32148 80.00 1
bi 32148 32165 222.89 1
bi 32166 32086 101.33 1
bi 32173 32095 222.89 1
bi 32166 32173 84.43 1
bi 32177 32101 144.93 1
bi 32173 32177 189.31 1
bi 32188 32107 50.87 1
bi 32177 32188 222.89 1
bi 32199 32106 222.89 1
bi 32216 32256 203.22 1
bi 32217 32139 83.01 1
bi 32226 32138 169.31 1
bi 32217 32226 222.89 1
bi 32240 32072 189.05 1
bi 32243 32166 222.89 1
bi 32240 32243 222.89 1
bi 32243 32248 201.61 1
bi 32247 32173 49.63 1
bi 32248 32247 222.89 1
bi 32199 32253 222.89 1
bi 32255 32199 133.10 1
bi 32256 32255 222.89 1
bi 32263 32177 169.60 1
bi 32247 32263 169.52 1
bi 32263 32271 222.89 1
